dimension,label,layer,r,alpha_fold_1,alpha_fold_2,alpha_fold_3,alpha_fold_4,alpha_fold_5
confidence_continuous,Confidence,21,0.38721993750668154,0.1,0.1,0.1,0.1,0.1
confidence_continuous,Confidence,22,0.4000498803629876,0.1,0.1,0.1,0.1,0.1
confidence_continuous,Confidence,23,0.40833878453483635,0.1,0.1,0.1,0.1,0.1
confidence_continuous,Confidence,24,0.37494280403527713,0.1,0.1,0.1,0.1,0.1
confidence_continuous,Confidence,25,0.3390552942566159,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,0,0.5306896830593906,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,1,0.5093129130701752,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,2,0.5698138243422308,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,3,0.5239989168070935,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,4,0.5126529137007567,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,5,0.539035603065131,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,6,0.5193524147784745,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,7,0.537538159709839,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,8,0.5464559651035381,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,9,0.5290351741212174,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,10,0.5386902498163081,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,11,0.5392116798586957,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,12,0.5476177315650745,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,13,0.592991426570699,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,14,0.585972875766674,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,15,0.5751411043833841,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,16,0.6180500985245385,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,17,0.5640683655394768,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,18,0.5803768129358112,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,19,0.5708575431248164,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,20,0.5771133288604753,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,21,0.5730064666703053,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,22,0.5717720045404591,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,23,0.5931568133202174,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,24,0.57075165615306,0.1,0.1,0.1,0.1,0.1
mp_mean,MP avg,25,0.5410989561556101,0.1,0.1,0.1,0.1,0.1
